year,item,pct,lo,hi,n
2025,Funding opportunities,61.64383561643836,57.00751600279111,66.07768751302542,438
2025,Data access,49.31506849315068,44.6593218418424,53.98272501016839,438
2025,Pressure to align with a political agenda,20.776255707762555,17.238898433254082,24.82176725253972,438
2025,Government control of research funding,29.45205479452055,25.376696315375764,33.884709244948006,438
2025,Privacy or data-protection restrictions,16.894977168949772,13.677089220357516,20.688508626830778,438
2025,Government censorship,10.95890410958904,8.365938058463263,14.230732506151893,438
2025,Government surveillance,14.383561643835616,11.40649788303005,17.97993842153115,438
2025,Pressures from private companies,7.9908675799086755,5.801566390534379,10.910640532794211,438
2026,Funding opportunities,67.4468085106383,63.084000576541484,71.526731964083325,470
2026,Data access,59.57446808510638,55.077516425619635,63.91617826130861,470
2026,Pressure to align with a political agenda,33.40425531914894,29.289926927868915,37.78766894812213,470
2026,Government control of research funding,32.76595744680851,28.677286846260667,37.1340627172685,470
2026,Privacy or data-protection restrictions,24.893617021276597,21.198573773713257,28.995737936119355,470
2026,Government censorship,23.404255319148938,19.801526666592597,27.43821031416228,470
2026,Government surveillance,22.76595744680851,19.20475661553794,26.76873405275506,470
2026,Pressures from private companies,18.29787234042553,15.064052346138052,22.045714134921763,470
